from_year,area.avg,to_year,model,group,weight
2016,7.05396,NA,Abarth,124 Spider Cabriolet,1060
2008,5.945164904761905,NA,Abarth,500 Hatchback,1034.857142857143
2010,5.929872666666666,NA,Abarth,500C Cabriolet,1073.3333333333333
2016,5.95482,NA,Abarth,595 Hatchback,1030
2016,5.95482,NA,Abarth,595 Cabrio Cabriolet,1060
2014,6.03028,NA,Abarth,695 Hatchback,997
2017,5.95482,NA,Abarth,695 Hatchback,1050
2008,6.79861,2010,Abarth,Grande Punto Hatchback,1130
2010,6.995865,2014,Abarth,Punto Evo Hatchback,1185
1994,7.007216,1999,Alfa Romeo,145 Hatchback,1143.2941176470588
1999,6.952432,2000,Alfa Romeo,145 Hatchback,1162.857142857143
1995,7.287984,1999,Alfa Romeo,146 Hatchback,1171.0588235294117
1999,7.25032,2000,Alfa Romeo,146 Hatchback,1192.142857142857
2000,7.2168613125,2005,Alfa Romeo,147 Hatchback,1217.1875
2001,7.20993,2005,Alfa Romeo,147 Hatchback,1233.3870967741937
2005,7.301567,2007,Alfa Romeo,147 Hatchback,1218.4615384615386
2005,7.301567,2007,Alfa Romeo,147 Hatchback,1238.4615384615386
2007,7.301567,2009,Alfa Romeo,147 Hatchback,1219.5454545454545
2007,7.301567,2010,Alfa Romeo,147 Hatchback,1239.5454545454545
1992,7.5531,1995,Alfa Romeo,155 Sedan,1291
1995,7.68639,1997,Alfa Romeo,155 Sedan,1265.3333333333333
1997,7.73035,2002,Alfa Romeo,156 Sedan,1268.75
2002,7.7430071428571425,2003,Alfa Romeo,156 Sedan,1309.2857142857142
2003,7.736118333333333,2005,Alfa Romeo,156 Sedan,1285.7575757575758
2000,7.73035,2002,Alfa Romeo,156 Sportwagon Stationwagon,1324.375
2002,7.7430071428571425,2003,Alfa Romeo,156 Sportwagon Stationwagon,1359.2857142857142
2003,7.746584333333333,2005,Alfa Romeo,156 Sportwagon Stationwagon,1344.5454545454545
2005,8.51848,2008,Alfa Romeo,159 Sedan,1548.1818181818182
2008,8.52963,2010,Alfa Romeo,159 Sedan,1498.939393939394
2006,8.51848,2008,Alfa Romeo,159 Sportwagon Stationwagon,1569.8484848484848
2008,8.52963,2010,Alfa Romeo,159 Sportwagon Stationwagon,1549.3939393939395
1988,8.0168,1993,Alfa Romeo,164 Sedan,1298.142857142857
1993,8.052,1998,Alfa Romeo,164 Sedan,1422.6363636363637
1998,8.5668,2003,Alfa Romeo,166 Sedan,1464.4444444444443
2003,8.496,2007,Alfa Romeo,166 Sedan,1472.7777777777778
1983,6.47218,1986,Alfa Romeo,33 Hatchback,903.3333333333334
1986,6.47218,1990,Alfa Romeo,33 Hatchback,917.5
1990,6.57705,1994,Alfa Romeo,33 Hatchback,966.7777777777778
1984,6.47218,1987,Alfa Romeo,33 Giardinetta Stationwagon,990
1988,6.676904,1990,Alfa Romeo,33 SportWagon Stationwagon,925
1991,6.7788,1994,Alfa Romeo,33 SportWagon Stationwagon,973.3333333333334
2015,7.45332,NA,Alfa Romeo,4C Spider Cabriolet,974
1985,7.1654333333333335,1989,Alfa Romeo,75 Sedan,1123.3333333333333
1989,7.174814285714286,1992,Alfa Romeo,75 Sedan,1164.2857142857142
1984,7.192458,1988,Alfa Romeo,90 Sedan,1147.5
1983,8.01584,1986,Alfa Romeo,Alfa 6 Sedan,1470
1980,6.428448,1981,Alfa Romeo,Alfasud Hatchback,885
1980,6.32502,1982,Alfa Romeo,Alfasud Hatchback,870
1981,6.366391200000001,1984,Alfa Romeo,Alfasud Hatchback,883
1982,6.32502,1984,Alfa Romeo,Alfasud Hatchback,895
1981,7.1914,1983,Alfa Romeo,Alfetta Sedan,1158
1983,7.1914,1985,Alfa Romeo,Alfetta Sedan,1142
2006,8.07579,2008,Alfa Romeo,Brera Coupe,1545
2008,8.07579,2011,Alfa Romeo,Brera Coupe,1515.5
2005,7.838365,2007,Alfa Romeo,Crosswagon Stationwagon,1505
2016,8.691659620689656,NA,Alfa Romeo,Giulia Sedan,1417.5172413793102
1980,6.9465,1983,Alfa Romeo,Giulietta Sedan,1090
1983,6.9465,1985,Alfa Romeo,Giulietta Sedan,1133.3333333333333
2010,7.823098,2014,Alfa Romeo,Giulietta Hatchback,1275.909090909091
2014,7.823098,2016,Alfa Romeo,Giulietta Hatchback,1281.142857142857
2016,7.823098,NA,Alfa Romeo,Giulietta Hatchback,1279.1304347826087
2004,7.914107,2007,Alfa Romeo,GT Coupe,1305.7142857142858
2007,7.914107,2011,Alfa Romeo,GT Coupe,1307.1875
1981,7.08864,1986,Alfa Romeo,GTV Coupe,1160
1995,7.6273,1998,Alfa Romeo,GTV Coupe,1347.2
1998,7.6273,2003,Alfa Romeo,GTV Coupe,1368.9285714285713
2003,7.635024,2005,Alfa Romeo,GTV Coupe,1370
2008,6.994273030303031,2013,Alfa Romeo,Mito Hatchback,1123.030303030303
2013,6.98836,NA,Alfa Romeo,Mito Hatchback,1116.764705882353
2016,6.98836,NA,Alfa Romeo,Mito Hatchback,1115
1983,6.92261,1990,Alfa Romeo,Spider Convertible,1040
1990,6.9438,1993,Alfa Romeo,Spider Convertible,1120
1995,7.6273,1998,Alfa Romeo,Spider Convertible,1323.5
1998,7.6273,2003,Alfa Romeo,Spider Convertible,1362.9166666666667
2003,7.635024,2006,Alfa Romeo,Spider Convertible,1401.6666666666667
2006,8.03919,2008,Alfa Romeo,Spider Convertible,1593
2008,8.03919,2011,Alfa Romeo,Spider Convertible,1570
1983,6.51456,1989,Alfa Romeo,Sprint Coupe,NA
2017,8.920788250000001,NA,Alfa Romeo,Stelvio Suv,1611.65
1993,6.06372,1999,Asia Motors,Rocsta Suv,1335
2011,5.17104,2013,Aston Martin,Cygnet Hatchback,988
2016,9.19366,NA,Aston Martin,DB11 Coupe Coupe,1770
2018,9.19366,NA,Aston Martin,DB11 Volante Convertible,1870
1994,8.501993333333333,2004,Aston Martin,DB7 Coupe,1736.6666666666667
1996,8.4836,2004,Aston Martin,DB7 Volante Convertible,1862.5
2004,8.821875,2012,Aston Martin,DB9 Coupe,1745
2012,8.85,NA,Aston Martin,DB9 Coupe Coupe,1785
2004,8.821875,2012,Aston Martin,DB9 Volante Convertible,1820
2012,8.85,NA,Aston Martin,DB9 Volante Convertible,1780
2008,8.993505,2012,Aston Martin,DBS Coupe,1717.5
2010,8.993505,2012,Aston Martin,DBS Volante Convertible,1730
2010,9.546138,NA,Aston Martin,Rapide Sedan,1977.5
2001,8.980125,2007,Aston Martin,V12 Vanquish Coupe,1815
2010,8.171808333333333,NA,Aston Martin,V12 Vantage Coupe Coupe,1675
2012,8.1733625,NA,Aston Martin,V12 Vantage Roadster Convertible,1707.5
1997,9.2266525,2001,Aston Martin,V8 Coupe Coupe,1970
2005,8.1719448,NA,Aston Martin,V8 Vantage Coupe,1606
2007,8.1719448,NA,Aston Martin,V8 Vantage Roadster Convertible,1710
1997,9.4944,2001,Aston Martin,V8 Volante Convertible,2000
2012,8.9916,NA,Aston Martin,Vanquish Coupe,1785
2014,9.00684,NA,Aston Martin,Vanquish Volante Convertible,1844
2018,8.67103,NA,Aston Martin,Vantage Coupe,1530
1989,8.80672,1996,Aston Martin,Virage Coupe,1925
2012,8.9916,2012,Aston Martin,Virage Coupe,1785
2012,8.9916,2012,Aston Martin,Virage Volante Convertible,1890
1991,8.80672,1996,Aston Martin,Volante Convertible,2000
1980,8.27424,1982,Audi,100 Sedan,1170
1982,8.693127757575757,1988,Audi,100 Sedan,1191.878787878788
1988,8.694502,1991,Audi,100 Sedan,1274
1991,8.5312295,1994,Audi,100 Sedan,1435.65
1983,8.693677454545455,1988,Audi,100 Avant Wagon,1235.121212121212
1988,8.694502,1991,Audi,100 Avant Wagon,1302.5862068965516
1991,8.532250526315789,1994,Audi,100 Avant Wagon,1481.0526315789473
1980,8.30076,1982,Audi,200 Sedan,1260
1984,8.719898,1991,Audi,200 Sedan,1344.5454545454545
1985,8.719898,1991,Audi,200 Avant Wagon,1477.25
1980,7.372206,1981,Audi,80 Sedan,980
1980,7.372206,1981,Audi,80 Sedan,980
1981,7.372206,1984,Audi,80 Sedan,961.25
1981,7.372206,1984,Audi,80 Sedan,987.3333333333334
1984,7.410892,1985,Audi,80 Sedan,886.5
1984,7.410892,1986,Audi,80 Sedan,922.6923076923077
1986,7.44783,1991,Audi,80 Sedan,1066.65
1991,7.5995325,1995,Audi,80 Sedan,1283.388888888889
1992,7.6028165625,1995,Audi,80 Avant Wagon,1349.5
1984,7.51013,1986,Alfa Romeo,90 Sedan,1088
1987,7.446135,1991,Alfa Romeo,90 Sedan,1218
2010,6.87996,2015,Audi,A1 Hatchback,1085.909090909091
2015,6.91302,NA,Audi,A1 Hatchback,1106.969696969697
2012,6.902965090909091,2015,Audi,A1 Sportback Hatchback,1119.090909090909
2015,6.936858,NA,Audi,A1 Sportback Hatchback,1133.1818181818182
2018,7.01046,NA,Audi,A1 Sportback Hatchback,1101.875
2000,6.400898,2005,Audi,A2 Mpv,954.5454545454545
1996,7.20372,2000,Audi,A3 Hatchback,1175
1999,7.20372,2000,Audi,A3 Hatchback,1179.090909090909
2000,7.20372,2003,Audi,A3 Hatchback,1184.3939393939395
2000,7.20372,2003,Audi,A3 Hatchback,1185.909090909091
2003,7.418295,2005,Audi,A3 Hatchback,1323.1818181818182
2005,7.43771,2008,Audi,A3 Hatchback,1314.090909090909
2008,7.48007,2012,Audi,A3 Hatchback,1290
2012,7.529149,NA,Audi,A3 Hatchback,1191.8181818181818
2016,7.536257,NA,Audi,A3 Hatchback,1185.5
2008,7.48007,2013,Audi,A3 Cabriolet Convertible,1452.5757575757575
2013,7.926853,2016,Audi,A3 Cabriolet Convertible,1384.6969696969697
2016,7.930439,NA,Audi,A3 Cabriolet Convertible,1381.6666666666667
2013,8.002976,2016,Audi,A3 Limousine Sedan,1218.3333333333333
2016,8.006241454545455,NA,Audi,A3 Limousine Sedan,1252.5757575757575
2004,7.56479,2008,Audi,A3 Sportback Hatchback,1321.3636363636363
2008,7.57538,2013,Audi,A3 Sportback Hatchback,1345.909090909091
2013,7.69335,NA,Audi,A3 Sportback Hatchback,1301.969696969697
2016,7.698705,NA,Audi,A3 Sportback Hatchback,1251.8181818181818
1995,7.762107,1999,Audi,A4 Sedan,1301.6666666666667
1999,7.760374,2001,Audi,A4 Sedan,1320.1851851851852
2001,8.033523696969697,2004,Audi,A4 Sedan,1430.909090909091
2004,8.126392,2007,Audi,A4 Sedan,1468.3333333333333
2007,8.587678,2011,Audi,A4 Sedan,1515.7575757575758
2011,8.584026,2015,Audi,A4 Sedan,1479.3939393939395
2015,8.705292,NA,Audi,A4 Sedan,1458.7878787878788
2018,8.727396,NA,Audi,A4 Sedan,1488.030303030303
2009,8.691361,2011,Audi,A4 Allroad Wagon,1670
2012,8.691361,2016,Audi,A4 Allroad Wagon,1641.923076923077
2016,8.7495,NA,Audi,A4 Allroad Wagon,1617.857142857143
1996,7.762107,1999,Audi,A4 Avant Wagon,1349.8148148148148
1999,7.760374,2001,Audi,A4 Avant Wagon,1360.5555555555557
2001,8.033598666666666,2004,Audi,A4 Avant Wagon,1483.6363636363637
2004,8.126392,2008,Audi,A4 Avant Wagon,1523.6363636363637
2008,8.587678,2011,Audi,A4 Avant Wagon,1573.3333333333333
2011,8.580374,2015,Audi,A4 Avant Wagon,1536.2121212121212
2015,8.70345,NA,Audi,A4 Avant Wagon,1531.5151515151515
2018,8.727396,NA,Audi,A4 Avant Wagon,1538.030303030303
2002,8.126602083333333,2005,Audi,A4 Cabriolet Convertible,1609.1666666666667
2005,8.126221,2008,Audi,A4 Cabriolet Convertible,1668.7878787878788
2009,8.57475,2011,Audi,A5 Cabriolet Convertible,1714.2424242424242
2011,8.576604,NA,Audi,A5 Cabriolet Convertible,1695.909090909091
2017,8.626358,NA,Audi,A5 Cabriolet Convertible,1683.7878787878788
2007,8.57475,2011,Audi,A5 Coupe Coupe,1536.969696969697
2011,8.576604,NA,Audi,A5 Coupe Coupe,1500.4545454545455
2016,8.626358,NA,Audi,A5 Coupe Coupe,1486.5151515151515
2009,8.734194,2011,Audi,A5 Sportback Hatchback,1553.4848484848485
2011,8.736048,NA,Audi,A5 Sportback Hatchback,1550.4545454545455
2017,8.722919,NA,Audi,A5 Sportback Hatchback,1478.030303030303
2017,8.722919,NA,Audi,A5 Sportback Coupe,1444
1994,8.553051,1997,Audi,A6 Sedan,1446.9642857142858
1997,8.689156451612902,2001,Audi,A6 Sedan,1514.774193548387
2001,8.696535151515151,2004,Audi,A6 Sedan,1571.969696969697
2004,9.11918,2008,Audi,A6 Sedan,1640.7575757575758
2008,9.139585,2011,Audi,A6 Sedan,1643.030303030303
2011,9.21071,2014,Audi,A6 Sedan,1612.121212121212
2014,9.244442,NA,Audi,A6 Sedan,1663.4848484848485
2018,9.314954,NA,Audi,A6 Sedan,1686.25
2000,8.90812,2006,Audi,A6 Allroad Wagon,1826.6666666666667
2006,9.187108,2008,Audi,A6 Allroad Wagon,1843.3333333333333
2008,9.187108,2011,Audi,A6 Allroad Wagon,1867
2012,9.37612,2014,Audi,A6 Allroad Wagon,1843.75
2014,9.372324,NA,Audi,A6 Allroad Wagon,1877.6470588235295
1994,8.553051,1997,Audi,A6 Avant Wagon,1502.962962962963
1998,8.689156451612902,2001,Audi,A6 Avant Wagon,1566.4516129032259
2001,8.696535151515151,2004,Audi,A6 Avant Wagon,1627.4242424242425
2005,9.150715,2008,Audi,A6 Avant Wagon,1685.1515151515152
2008,9.139585,2011,Audi,A6 Avant Wagon,1707.5757575757575
2011,9.231324,2014,Audi,A6 Avant Wagon,1685.1515151515152
2014,9.263182,NA,Audi,A6 Avant Wagon,1718.1818181818182
2018,9.314954,NA,Audi,A6 Avant Wagon,1758.75
2010,9.495759,2014,Audi,A7 Sportback Hatchback,1741.5151515151515
2014,9.505314,NA,Audi,A7 Sportback Hatchback,1743.939393939394
2018,9.480852,NA,Audi,A7 Sportback Hatchback,1757.857142857143
1994,9.46392,1999,Audi,A8 Sedan,1582.3076923076924
1999,9.49267294117647,2002,Audi,A8 Sedan,1700
2002,9.664852424242424,2007,Audi,A8 Sedan,1829.2424242424242
2007,9.69188496969697,2010,Audi,A8 Sedan,1844.3939393939395
2010,10.134859060606061,2013,Audi,A8 Sedan,1897.121212121212
2013,10.148876111111111,NA,Audi,A8 Sedan,1928.7037037037037
2017,10.185965,NA,Audi,A8 Sedan,1935
1991,7.492056,2000,Audi,Cabriolet Convertible,1388.5
1980,7.323988666666667,1984,Audi,Coupe Coupe,1040
1983,7.3822980000000005,1986,Audi,Coupe Coupe,1065
1986,7.436122,1988,Audi,Coupe Sedan,1080
1989,7.492056,1991,Audi,Coupe Coupe,1218.5714285714287
1991,7.498062,1996,Audi,Coupe Coupe,1287.9
2018,9.483435,NA,Audi,e-tron Suv,2465
2016,7.5207716875,NA,Audi,Q2 Suv,1306.875
2011,8.03174359375,2015,Audi,Q3 Suv,1489.375
2015,8.034428,NA,Audi,Q3 Suv,1522.1875
2018,8.290916,NA,Audi,Q3 Suv,1553.3333333333333
2008,8.785842,2012,Audi,Q5 Suv,1754.655172413793
2012,8.785842,NA,Audi,Q5 Suv,1775.3125
2017,8.82827052,NA,Audi,Q5 Suv,1743.8
2006,10.085538,2009,Audi,Q7 Suv,2275
2009,10.092565531250001,2015,Audi,Q7 Suv,2310
2015,9.943866666666667,NA,Audi,Q7 Suv,2050.5555555555557
2018,9.94707,NA,Audi,Q8 Suv,2103.3333333333335
1980,7.588092,1991,Audi,Quattro Coupe,1335
1986,7.588092,1988,Audi,Quattro Sedan,1300
2007,8.477599333333334,2012,Audi,R8 Coupe,1582.5
2012,8.52776,2015,Audi,R8 Coupe,1570.8333333333333
2016,8.58644,NA,Audi,R8 Coupe,1550
2016,8.58644,NA,Audi,R8 Coupe Coupe,1555
2010,8.55955,2012,Audi,R8 Spyder Convertible,1680
2012,8.449000000000002,2015,Audi,R8 Spyder Convertible,1678.75
2016,8.58644,NA,Audi,R8 Spyder Coupe,1695
2016,8.58644,NA,Audi,R8 Spyder Convertible,1673.3333333333333
2017,8.071158,NA,Audi,RS3 Limousine Sedan,1510
2011,7.717788,2013,Audi,RS3 Sportback Hatchback,1550
2015,7.8174,NA,Audi,RS3 Sportback Hatchback,1495
2017,7.803,NA,Audi,RS3 Sportback Hatchback,1505
2005,8.333624,2007,Audi,RS4 Sedan,1650
2000,8.140475,2001,Audi,RS4 Avant Wagon,1620
2006,8.126392,2008,Audi,RS4 Avant Wagon,1710
2012,8.73015,2015,Audi,RS4 Avant Wagon,1770
2017,8.921346,NA,Audi,RS4 Avant Wagon,1690
2019,8.921346,NA,Audi,RS4 Avant Wagon,1730
2006,8.26277,2008,Audi,RS4 Cabriolet Convertible,1845
2013,8.64714,2015,Audi,RS5 Cabriolet Convertible,1895
2010,8.64714,2012,Audi,RS5 Coupe Coupe,1725
2012,8.64714,2015,Audi,RS5 Coupe Coupe,1690
2017,8.789503,NA,Audi,RS5 Coupe Coupe,1630
2019,8.925078,NA,Audi,RS5 Sportback Hatchback,1695
2002,8.9873,2004,Audi,RS6 Sedan,1840
2008,9.308992,2010,Audi,RS6 Sedan,1985
2002,8.9762,2004,Audi,RS6 Avant Wagon,1865
2008,9.308992,2010,Audi,RS6 Avant Wagon,2025
2013,9.639344,2014,Audi,RS6 Avant Wagon,1910
2015,9.639344,NA,Audi,RS6 Avant Wagon,1925
2013,9.577932,2014,Audi,RS7 Sportback Hatchback,1895
2015,9.577932,NA,Audi,RS7 Sportback Hatchback,1905
2014,6.9165,2015,Audi,S1 Hatchback,1290
2015,6.9165,NA,Audi,S1 Hatchback,1290
2014,6.9165,2015,Audi,S1 Sportback Hatchback,1215
2015,6.9165,NA,Audi,S1 Sportback Hatchback,1215
1999,7.332317,2000,Audi,S3 Hatchback,1375
2000,7.332317,2003,Audi,S3 Hatchback,1420
2006,7.439475,2008,Audi,S3 Hatchback,1455
2008,7.46595,2012,Audi,S3 Hatchback,1455
2013,7.559358,NA,Audi,S3 Hatchback,1380
2016,7.555804,NA,Audi,S3 Hatchback,1392.5
2014,7.950162,2016,Audi,S3 Cabriolet Convertible,1595
2016,7.944783,NA,Audi,S3 Cabriolet Convertible,1610
2014,7.977165,2016,Audi,S3 Limousine Sedan,1415
2016,8.020936,NA,Audi,S3 Limousine Sedan,1425
2008,7.59303,2013,Audi,S3 Sportback Hatchback,1505
2013,7.71834,2016,Audi,S3 Sportback Hatchback,1417.5
2016,7.71477,NA,Audi,S3 Sportback Hatchback,1422.5
1997,7.769039,1999,Audi,S4 Sedan,1510
1999,7.760374,2001,Audi,S4 Sedan,1515
2003,8.148075,2004,Audi,S4 Sedan,1607.5
2005,8.126392,2007,Audi,S4 Sedan,1682.5
2009,8.613242,2011,Audi,S4 Sedan,1667.5
2011,8.611416,2015,Audi,S4 Sedan,1680
2016,8.74029,NA,Audi,S4 Sedan,1605
1997,7.777704,1999,Audi,S4 Avant Wagon,1540
1999,7.760374,2001,Audi,S4 Avant Wagon,1545
2003,8.148075,2004,Audi,S4 Avant Wagon,1662.5
2005,8.126392,2008,Audi,S4 Avant Wagon,1737.5
2009,8.613242,2011,Audi,S4 Avant Wagon,1720
2011,8.616894,2015,Audi,S4 Avant Wagon,1725
2016,8.74029,NA,Audi,S4 Avant Wagon,1650
2004,8.130794,2005,Audi,S4 Cabriolet Convertible,1875
2005,8.130794,2008,Audi,S4 Cabriolet Convertible,1875
2009,8.59329,2011,Audi,S5 Cabriolet Convertible,1875
2011,8.59329,NA,Audi,S5 Cabriolet Convertible,1855
2017,8.661432,NA,Audi,S5 Cabriolet Convertible,1815
2007,8.59329,2011,Audi,S5 Coupe Coupe,1652.5
2011,8.60256,NA,Audi,S5 Coupe Coupe,1650
2016,8.661432,NA,Audi,S5 Coupe Coupe,1590
2010,8.737902,2011,Audi,S5 Sportback Hatchback,1755
2011,8.747172,NA,Audi,S5 Sportback Hatchback,1720
2017,8.757936,NA,Audi,S5 Sportback Hatchback,1635
1994,8.653788,1997,Audi,S6 Sedan,1645.75
1999,8.94105,2001,Audi,S6 Sedan,1722.5
2001,8.94105,2004,Audi,S6 Sedan,1760
2006,9.163424,2008,Audi,S6 Sedan,1910
2008,9.204432,2011,Audi,S6 Sedan,1910
2012,9.240694,2014,Audi,S6 Sedan,1870
2014,9.240694,NA,Audi,S6 Sedan,1870
1994,8.653788,1997,Audi,S6 Avant Wagon,1712
1999,8.94105,2001,Audi,S6 Avant Wagon,1777.5
2001,8.94105,2004,Audi,S6 Avant Wagon,1815
2006,9.195112,2008,Audi,S6 Avant Wagon,1970
2008,9.204432,2011,Audi,S6 Avant Wagon,1970
2012,9.246316,2014,Audi,S6 Avant Wagon,1925
2014,9.246316,NA,Audi,S6 Avant Wagon,1935
2012,9.51678,2014,Audi,S7 Sportback Hatchback,1920
2014,9.518691,NA,Audi,S7 Sportback Hatchback,1930
1996,9.46392,1999,Audi,S8 Sedan,1710
1999,9.46392,2002,Audi,S8 Sedan,1740
2006,9.602614,2007,Audi,S8 Sedan,1940
2007,9.602614,2010,Audi,S8 Sedan,1940
2012,10.010064,2013,Audi,S8 Sedan,1950
2014,10.019809,NA,Audi,S8 Sedan,1965
1998,7.128324,2006,Audi,TT Coupe Coupe,1368.5294117647059
2006,7.705086,2010,Audi,TT Coupe Coupe,1349.1666666666667
2010,7.71798,2014,Audi,TT Coupe Coupe,1362.03125
2014,7.656538666666666,NA,Audi,TT Coupe Coupe,1252.3333333333333
2019,7.680354666666666,NA,Audi,TT Coupe Coupe,1293.3333333333333
1999,7.128324,2006,Audi,TT Roadster Convertible,1431.875
2007,7.705086,2010,Audi,TT Roadster Convertible,1387.0833333333333
2010,7.72005225,2014,Audi,TT Roadster Convertible,1398.75
2015,7.656538666666666,NA,Audi,TT Roadster Convertible,1342.3333333333333
2019,7.680354666666666,NA,Audi,TT Roadster Convertible,1390.8333333333333
1989,9.032510666666667,1994,Audi,V8 Sedan,1730
1980,6.21775,1982,Austin,Allegro Hatchback,856.25
1980,6.3631,1981,Austin,Allegro Estate Wagon,890
1983,6.790175,1989,Austin,Maestro Hatchback,933.5
1981,5.236,1984,Austin,Metro Hatchback,762.2857142857143
1985,5.292515636363636,1990,Austin,Metro Hatchback,789.5454545454545
1985,5.288262,1989,Austin,Metro Hatchback,810
1980,4.338455555555556,1991,Austin,Mini Hatchback,NA
1984,7.64028,1990,Austin,Montego Sedan,1052.1
1985,7.64028,1990,Austin,Montego Estate Wagon,1125.7142857142858
1989,7.64028,1990,Austin,Montego Sedan,1197
1980,4.7804,1982,Autobianchi,A112 Hatchback,676.25
1998,10.567293333333334,2002,Bentley,Arnage Sedan,2523.6666666666665
2002,10.3266,2010,Bentley,Arnage Sedan,2535
2007,10.250499999999999,2010,Bentley,Arnage Sedan,2585
1997,10.000224,2003,Bentley,Azure Convertible,2610
2006,10.33501,2011,Bentley,Azure Coupe,2695
2016,10.26972,NA,Bentley,Bentayga Suv,2342.3333333333335
1994,10.027638,1998,Bentley,Brooklands Sedan,2440
2008,10.33501,2011,Bentley,Brooklands Coupe,2655
1994,9.879168,2003,Bentley,Continental Coupe,2503.3333333333335
2005,10.168212,2013,Bentley,Continental Flying Spur Sedan,2475
2003,9.250902666666667,2011,Bentley,Continental GT Coupe,2313.3333333333335
2011,9.344136857142857,NA,Bentley,Continental GT Coupe,2250
2018,9.5351,NA,Bentley,Continental GT Coupe,2144
2012,9.345156,NA,Bentley,Continental GT Convertible Convertible,2396.6666666666665
2006,9.214072,2012,Bentley,Continental GTC Convertible,2455
2012,9.338058,NA,Bentley,Continental Convertible,2382.5
2013,10.33305,NA,Bentley,Flying Spur Sedan,2348
2010,10.73745,NA,Bentley,Mulsanne Sedan,2585
2017,10.89795,NA,Bentley,Mulsanne Sedan,2600
2004,7.401477,2007,BMW,1-serie Hatchback,1264.84375
2007,7.409772,2012,BMW,1-serie Hatchback,1295.3125
2007,7.409772,2011,BMW,1-serie Hatchback,1299.84375
2011,7.63186,2015,BMW,1-serie Hatchback,1304.0625
2012,7.633624999999999,2015,BMW,1-serie Hatchback,1307.8125
2015,7.640685,NA,BMW,1-serie Hatchback,1325.9375
2015,7.480290625,NA,BMW,1-serie Hatchback,1307.5
2008,7.62128,2011,BMW,1-serie Cabrio Convertible,1465
2011,7.62128,2013,BMW,1-serie Cabrio Convertible,1470.46875
2007,7.62128,2011,BMW,1-serie Coupe Coupe,1355.6666666666667
2011,7.629900624999999,2013,BMW,1-serie Coupe Coupe,1356.875
2014,7.8156,NA,BMW,2-serie Active Tourer Mpv,1376.2
2018,7.244470588235294,NA,BMW,2-serie Active Tourer Mpv,1337.6470588235295
2015,7.87173472,NA,BMW,2-serie Cabrio Convertible,1535
2017,7.8721250000000005,NA,BMW,2-serie Cabrio Convertible,1542.0833333333333
2014,7.873344625,NA,BMW,2-serie Coupe Coupe,1387.5
2017,7.947869125,NA,BMW,2-serie Coupe Coupe,1417.1875
2015,8.2008,NA,BMW,2-serie Gran Tourer Mpv,1420.8333333333333
2018,7.812553846153847,NA,BMW,2-serie Gran Tourer Mpv,1405
1980,7.01155,1983,BMW,3-serie Sedan,1020
1983,7.142925833333334,1991,BMW,3-serie Sedan,1128.8333333333333
1983,7.123815625000001,1991,BMW,3-serie Sedan,1149.6875
1991,7.527234,1998,BMW,3-serie Sedan,1300.78125
1998,7.775069,2001,BMW,3-serie Sedan,1407.5
2001,7.775069,2005,BMW,3-serie Sedan,1425.15625
2005,8.21284,2008,BMW,3-serie Sedan,1463.28125
2008,8.232827,2012,BMW,3-serie Sedan,1526.5625
2012,8.374064,2015,BMW,3-serie Sedan,1450.46875
2015,8.390363,NA,BMW,3-serie Sedan,1463.59375
2019,8.603343,NA,BMW,3-serie Sedan,NA
1986,7.114625,1993,BMW,3-serie Cabrio Convertible,1276.25
1993,7.58043,1999,BMW,3-serie Cabrio Convertible,1440.6666666666667
2000,7.8906704761904765,2003,BMW,3-serie Cabrio Convertible,1499.047619047619
2003,7.8906704761904765,2007,BMW,3-serie Cabrio Convertible,1556.6666666666667
2007,8.16156,2010,BMW,3-serie Cabrio Convertible,1683.90625
2010,8.22526375,2013,BMW,3-serie Cabrio Convertible,1685.9375
1994,7.14858,2000,BMW,3-serie Compact Hatchback,1225.5
2001,7.462762,2005,BMW,3-serie Compact Hatchback,1340.1785714285713
1992,7.58043,1998,BMW,3-serie Coupe Coupe,1312.65625
1999,7.885416,2003,BMW,3-serie Coupe Coupe,1374.375
2003,7.8976764444444445,2006,BMW,3-serie Coupe Coupe,1409.4444444444443
2006,8.16156,2010,BMW,3-serie Coupe Coupe,1508.75
2010,8.218584,2013,BMW,3-serie Coupe Coupe,1530.15625
2013,8.818272,NA,BMW,3-serie Gran Turismo Hatchback,1585.3125
2016,8.818272,NA,BMW,3-serie Gran Turismo Hatchback,1614.75
1988,7.123815625000001,1994,BMW,3-serie Touring Wagon,1241.25
1995,7.527234,1999,BMW,3-serie Touring Wagon,1371.40625
1999,7.787242,2001,BMW,3-serie Touring Wagon,1518.75
2001,7.787242,2005,BMW,3-serie Touring Wagon,1526.40625
2005,8.21284,2008,BMW,3-serie Touring Wagon,1558.59375
2008,8.225559,2012,BMW,3-serie Touring Wagon,1538.4375
2012,8.374064,2015,BMW,3-serie Touring Wagon,1476.5625
2015,8.390363,NA,BMW,3-serie Touring Wagon,1541.25
2019,8.603343,NA,BMW,3-serie Touring Wagon,1600
2014,8.48125125,NA,BMW,4-serie Cabrio Convertible,1733.28125
2017,8.503569333333333,NA,BMW,4-serie Cabrio Convertible,1728.3333333333333
2013,8.46435,2016,BMW,4-serie Coupe Coupe,1470.78125
2017,8.498853076923076,NA,BMW,4-serie Coupe Coupe,1502.3076923076924
